room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
15040319,94404115,Shared room,Van Nuys,3,5,2,1,45
3185161,558465,Shared room,Koreatown,15,4.5,1,1,50
7494144,30291029,Shared room,Hyde Park,16,4.5,2,1,42
353282,116815,Shared room,Beverly Grove,7,5,1,1,45
7023913,36817697,Shared room,Sawtelle,27,4.5,1,1,45
682179,1763193,Shared room,Hancock Park,25,4.5,1,1,45
1641298,7615885,Shared room,Hollywood,7,4.5,3,1,55
14139789,29391585,Shared room,Westwood,17,3.5,2,1,47
12308267,26860,Shared room,Downtown,47,4.5,16,1,50
16546132,101873511,Shared room,Downtown,7,4.5,2,1,60
2032278,3595258,Shared room,Silver Lake,10,5,4,1,48
6064541,26860,Shared room,Hollywood,47,4.5,3,1,50
12380210,26860,Shared room,Downtown,38,4.5,16,1,50
8571649,43361360,Shared room,Venice,59,5,1,1,49
15178874,96246231,Shared room,Hollywood,0,0,1,1,50
8600584,106027,Shared room,Hollywood,6,5,3,1,55
1871906,8328339,Shared room,Mid-Wilshire,16,4.5,1,1,48
16577739,21236506,Shared room,Valley Village,5,5,5,1,48
13893197,82294219,Shared room,Hollywood,26,4.5,2,1,60
17030018,42917390,Shared room,Sherman Oaks,0,0,2,1,45
16855286,48086838,Shared room,West Hollywood,1,0,1,1,55
17535604,24079920,Shared room,North Hollywood,0,0,1,1,45
2260159,4811537,Shared room,North Hollywood,10,5,1,1,45
13176869,27598231,Shared room,Pasadena,7,4.5,4,1,45
2478944,4171804,Shared room,Beverly Grove,84,4.5,2,1,57
12838390,3415638,Shared room,Los Feliz,12,5,2,1,50
17299883,857154,Shared room,Hollywood,1,0,1,1,50
10542697,54364728,Shared room,Koreatown,69,5,2,1,55
13689644,58376836,Shared room,North Hollywood,0,0,1,1,50
12276503,26860,Shared room,Downtown,43,4.5,16,1,50
5559661,28822560,Shared room,Chinatown,26,4.5,1,1,52
17013166,102788301,Shared room,West Hollywood,3,4.5,1,1,49
13155540,21791586,Shared room,Koreatown,8,4.5,2,1,49
13425503,67115384,Shared room,San Pedro,0,0,2,1,50
6091491,7388804,Shared room,Van Nuys,0,0,1,1,53
11866503,63259260,Shared room,North Hollywood,2,0,2,1,60
15702970,7215858,Shared room,West Hills,1,0,10,1,60
1633963,8680248,Shared room,Eagle Rock,0,0,1,1,50
3478179,26069,Shared room,North Hollywood,4,4.5,2,1,52
13221196,29545130,Shared room,Downtown,2,0,2,1,60
11024040,20708192,Shared room,Westlake,2,0,1,1,43
16579086,93169343,Shared room,East Hollywood,0,0,3,1,45
2188125,11122678,Shared room,East Hollywood,0,0,1,1,60
12125998,28836957,Shared room,Westlake,0,0,1,1,60
10635609,41653068,Shared room,Historic South-Central,1,0,1,1,49
2571967,4292963,Shared room,Hollywood Hills,0,0,3,1,50
9300677,9250479,Shared room,Hollywood,5,4.5,6,1,46
2305098,11533349,Shared room,Hollywood,0,0,6,1,52
5934106,7615885,Shared room,Hollywood,2,0,3,1,48
3263145,7615885,Shared room,Hollywood,8,5,3,1,43
15086036,95471289,Shared room,Inglewood,0,0,1,1,50
10100871,10457909,Shared room,Mid-Wilshire,5,4.5,4,1,45
8746,26069,Shared room,North Hollywood,3,4.5,1,1,52
12106797,35590709,Shared room,Valley Village,0,0,1,1,50
12138042,65159337,Shared room,Sherman Oaks,0,0,2,1,49
3057051,1254174,Shared room,Venice,20,3.5,6,1,47
1815874,9250479,Shared room,Hollywood Hills,37,4.5,6,1,46
2899177,14818713,Shared room,Inglewood,1,0,2,1,50
6006129,25149349,Shared room,Westwood,2,0,1,1,60
7276511,27612853,Shared room,Encino,12,5,1,1,56
3410529,4291891,Shared room,Los Feliz,1,0,1,1,50
15678730,70376087,Shared room,Koreatown,0,0,2,1,49
1819094,9250479,Shared room,Hollywood,60,4.5,6,1,46
14579390,63258442,Shared room,Hollywood,0,0,2,1,43
241228,1254174,Shared room,Venice,35,3.5,16,1,47
7803232,38771025,Shared room,Pico-Robertson,2,0,1,1,55
2585782,1763193,Shared room,Hancock Park,9,5,4,1,45
15828527,44608191,Shared room,North Hollywood,0,0,1,1,45
11243376,33667954,Shared room,Hollywood Hills,0,0,3,1,60
6539100,1254174,Shared room,Venice,27,4,8,1,47
16537920,13081546,Shared room,Valley Glen,0,0,7,1,50
1096966,934819,Shared room,Larchmont,17,4,3,1,60
3263400,16502309,Shared room,Silver Lake,3,5,2,1,50
5468354,20372797,Shared room,East Hollywood,28,5,2,1,50
7174196,33524345,Shared room,Glendale,12,5,1,1,44
2314038,1878645,Shared room,Long Beach,49,5,3,1,44
12307933,26860,Shared room,Downtown,43,4.5,16,1,50
14802710,4292963,Shared room,Hollywood Hills,0,0,2,1,50
12254178,65979346,Shared room,Valley Village,0,0,3,1,50
11483708,34968900,Shared room,Hawthorne,1,0,1,1,49
16144842,26860,Shared room,East Hollywood,2,0,10,1,60
1801233,9193152,Shared room,Santa Monica,68,4.5,2,1,60
15007465,94687350,Shared room,Sawtelle,0,0,1,1,50
16539892,13081546,Shared room,Valley Glen,0,0,7,1,45
10164643,40820083,Shared room,Silver Lake,8,5,1,1,56
12369468,42324929,Shared room,Van Nuys,10,4.5,3,1,44
7389439,38713960,Shared room,Long Beach,1,0,2,1,50
5838026,30305389,Shared room,Hollywood,33,5,1,1,50
13947092,47680240,Shared room,Sawtelle,0,0,1,1,49
14369832,88160945,Shared room,Hollywood,0,0,1,1,50
16554765,48113682,Shared room,Wilmington,0,0,1,1,48
9877808,34767247,Shared room,Echo Park,13,4.5,1,1,41
14253117,34314337,Shared room,Mid-Wilshire,3,4,1,1,55
6959972,10042192,Shared room,Koreatown,0,0,1,1,50
9489830,7533800,Shared room,Hollywood,12,5,2,1,55
10611799,20692393,Shared room,North Hollywood,37,4.5,2,1,44
14607654,7720166,Shared room,Sawtelle,0,0,1,1,44
2008334,4930421,Shared room,West Hollywood,47,5,1,1,45
5684688,1763193,Shared room,Hancock Park,5,5,1,1,45
9624302,7706596,Shared room,Hollywood,7,4.5,1,1,45
10225757,10457909,Shared room,Mid-Wilshire,0,0,4,1,45
13438410,57560667,Shared room,Panorama City,1,0,2,1,60
8130198,42800383,Shared room,Sherman Oaks,0,0,1,1,50
5277211,7615885,Shared room,Hollywood,4,5,2,1,52
14962616,94073399,Shared room,Van Nuys,0,0,1,1,45
12136999,33310697,Shared room,Sherman Oaks,4,5,1,1,50
14234291,58481702,Shared room,Boyle Heights,4,3.5,3,1,60
12308210,26860,Shared room,Downtown,65,5,16,1,50
16973489,1137013,Shared room,Long Beach,0,0,2,1,50
14931410,432903,Shared room,West Adams,0,0,2,1,60
10553675,4479628,Shared room,Mid-City,1,0,2,1,44
5256414,27207281,Shared room,Hollywood,7,4,2,1,43
17576520,18291195,Shared room,Glendale,0,0,2,1,55
17331629,13386202,Shared room,Beverly Hills,0,0,1,1,60
9027426,24936896,Shared room,Hollywood,10,5,2,1,46
9198588,35838948,Shared room,North Hollywood,2,0,1,1,45
44520,179142,Shared room,Silver Lake,33,4.5,1,1,45
13126443,68931073,Shared room,Long Beach,6,5,2,1,50
16840836,24117281,Shared room,Hollywood,0,0,2,1,58
524239,2574654,Shared room,Venice,59,4,1,1,46
10293673,2596829,Shared room,Van Nuys,4,4,1,1,45
16708670,27165391,Shared room,Westlake,2,0,2,1,50
16871740,12328188,Shared room,Mid-City,0,0,1,1,45
11065145,3679304,Shared room,West Hollywood,6,4.5,3,1,45
13863349,81937483,Shared room,North Hollywood,0,0,2,1,50
8480307,28814111,Shared room,Woodland Hills,3,3,2,1,50
12379994,26860,Shared room,Downtown,63,5,16,1,50
12232134,26860,Shared room,Downtown,72,4.5,16,1,50
6545960,31698982,Shared room,Hawthorne,5,4,1,1,55
11362989,22993679,Shared room,Palms,14,4.5,2,1,44
14014993,26860,Shared room,Downtown,37,5,16,1,50
13469377,42060332,Shared room,Palms,13,5,2,1,42
15931514,35723221,Shared room,Vermont Square,0,0,1,1,50
17529751,645475,Shared room,North Hollywood,0,0,1,1,50
14996222,46122639,Shared room,Sawtelle,1,0,1,1,49
17178485,102788301,Shared room,West Hollywood,0,0,1,1,49
17256555,102788301,Shared room,West Hollywood,0,0,1,1,49
15988458,102788301,Shared room,West Hollywood,4,5,2,1,48
8571629,43361360,Shared room,Venice,53,5,1,1,49
1212983,2086656,Shared room,Sawtelle,68,4.5,1,1,42
17256733,102788301,Shared room,West Hollywood,0,0,1,1,49
13274464,43955786,Shared room,Hollywood Hills,20,4.5,2,1,58
12457319,26860,Shared room,Downtown,44,5,16,1,50
16854863,48086838,Shared room,West Hollywood,2,0,1,1,55
14853432,43955786,Shared room,Hollywood Hills,8,3.5,2,1,58
16003540,102788301,Shared room,West Hollywood,0,0,1,1,46
15225003,94535872,Shared room,Sawtelle,0,0,4,1,54
8345349,43989133,Shared room,Burbank,0,0,1,1,55
8352020,22927525,Shared room,Hollywood Hills,0,0,1,1,49
7998525,25406808,Shared room,Westwood,5,4,1,1,56
13830799,72197982,Shared room,Hollywood Hills West,13,5,1,1,48
15377740,40535606,Shared room,Highland Park,19,5,1,1,45
12010033,25920798,Shared room,Valley Village,0,0,1,1,50
17655155,38610324,Shared room,Mid-Wilshire,0,0,1,1,45
11760823,4227154,Shared room,Los Feliz,7,5,2,1,50
5627628,21364327,Shared room,University Park,0,0,2,1,50
17668399,85177378,Shared room,North Hollywood,0,0,1,1,45
16753496,30928489,Shared room,Mid-Wilshire,0,0,1,1,50
10300392,45697001,Shared room,Downtown,1,0,4,1,50
8571635,43361360,Shared room,Venice,52,5,1,1,49
13772320,11583410,Shared room,West Hollywood,2,0,1,1,50
7940013,41874136,Shared room,Los Feliz,21,5,1,1,55
9988119,29291390,Shared room,Pico-Robertson,0,0,1,1,50
9615914,32031077,Shared room,Historic South-Central,0,0,1,1,48
13403554,76299103,Shared room,Beverly Grove,5,5,1,1,50
13916728,82593590,Shared room,Long Beach,0,0,1,1,40
13980239,83404387,Shared room,Long Beach,2,0,2,1,30
14536985,89924333,Shared room,Long Beach,0,0,1,1,40
16675055,96355373,Shared room,Long Beach,6,4.5,1,1,20
14884262,93342390,Shared room,Lakewood,0,0,1,1,30
14774365,92195075,Shared room,Lakewood,0,0,1,1,35
14775013,92202389,Shared room,Long Beach,0,0,1,1,30
14536556,89918278,Shared room,Lakewood,0,0,1,1,40
14028976,83984218,Shared room,Lakewood,0,0,1,1,40
14536839,89922260,Shared room,Lakewood,0,0,1,1,40
14757216,91758994,Shared room,Long Beach,0,0,1,1,35
17606926,119670133,Shared room,Long Beach,0,0,2,1,30
17143178,102788570,Shared room,Long Beach,1,0,2,1,23
13788129,68321447,Shared room,Hawaiian Gardens,6,4,1,1,27
14013318,83800273,Shared room,Lakewood,1,0,1,1,35
14775090,92203395,Shared room,Lakewood,0,0,1,1,30
3006676,15081169,Shared room,Long Beach,9,4,2,1,27
16664640,96355373,Shared room,Long Beach,4,4.5,1,1,20
16755212,111181035,Shared room,Long Beach,1,0,1,1,39
17403103,117656878,Shared room,Long Beach,0,0,1,1,35
17238866,116135226,Shared room,Long Beach,0,0,1,1,17
15835695,54386063,Shared room,Long Beach,3,4.5,1,1,25
17074883,17580375,Shared room,Lakewood,2,0,1,1,40
16674837,96355373,Shared room,Long Beach,2,0,1,1,20
16259529,96355373,Shared room,Long Beach,1,0,2,1,28
16261628,96355373,Shared room,Long Beach,7,4.5,1,1,28
15821197,54386063,Shared room,Long Beach,1,0,2,1,25
15821035,54386063,Shared room,Long Beach,5,3.5,1,1,23
17211324,54737490,Shared room,Long Beach,2,0,1,1,24
6480405,4581403,Shared room,Long Beach,109,5,1,1,33
16157926,12813103,Shared room,Long Beach,12,5,1,1,25
9950115,8206200,Shared room,West Hills,10,4.5,5,1,35
16192570,105630569,Shared room,Hermosa Beach,15,4.5,4,1,40
14276352,42876948,Shared room,Sawtelle,1,0,1,1,37
9413078,10658976,Shared room,Westlake,5,4,1,1,28
3291789,7391588,Shared room,Northridge,24,5,2,1,35
2033747,2927451,Shared room,Sawtelle,2,0,1,1,30
8048593,487616,Shared room,Mid-Wilshire,2,0,1,1,40
16932284,111826945,Shared room,Venice,5,4.5,1,1,30
10312480,8206200,Shared room,West Hills,9,4.5,5,1,30
9982951,8206200,Shared room,West Hills,22,4.5,5,1,30
16414777,19996574,Shared room,Unincorporated Santa Susana Mountains,13,4.5,2,1,25
14807771,14758840,Shared room,Canoga Park,15,5,1,1,25
11381348,36873240,Shared room,Santa Clarita,0,0,1,1,27
14784640,42927041,Shared room,Sun Valley,0,0,4,1,19
11845978,8206200,Shared room,Northridge,4,4.5,5,1,40
16414598,19996574,Shared room,Stevenson Ranch,5,4.5,2,1,25
3925502,7391588,Shared room,Northridge,15,5,4,1,35
4632906,23991873,Shared room,Canoga Park,15,4.5,1,1,40
14731531,91735298,Shared room,Long Beach,0,0,2,1,130
13116069,72407943,Shared room,Long Beach,0,0,1,1,130
6463767,33757504,Shared room,Glendale,0,0,1,1,125
3010996,15342122,Shared room,Hollywood,0,0,1,1,121
16406054,105987304,Shared room,Santa Monica,1,0,4,1,135
12732364,41874136,Shared room,Los Feliz,5,5,1,1,135
4021805,20850553,Shared room,Brentwood,0,0,2,1,135
4086241,10934006,Shared room,West Hollywood,2,0,2,1,129
11734816,51658304,Shared room,Woodland Hills,0,0,10,1,120
11689296,39553067,Shared room,Mid-Wilshire,0,0,2,1,120
7281375,344670,Shared room,Pico-Robertson,0,0,1,1,100
4476872,15904522,Shared room,Redondo Beach,0,0,2,1,110
14593443,90512096,Shared room,Koreatown,0,0,1,1,120
6044839,22324209,Shared room,Los Feliz,0,0,1,1,120
16215544,60369391,Shared room,Palms,0,0,2,1,100
15705512,101420454,Shared room,West Hollywood,1,0,3,1,120
14374857,8014274,Shared room,Marina del Rey,2,0,1,1,102
7402381,37668833,Shared room,Venice,37,4,4,1,115
13712502,80083314,Shared room,Ladera Heights,0,0,1,1,120
11967498,25121761,Shared room,Santa Monica,1,0,2,1,115
14473876,89229372,Shared room,Long Beach,0,0,2,1,100
2222245,11337655,Shared room,Studio City,0,0,2,1,98
13697008,79862593,Shared room,West Hollywood,1,0,1,1,99
11327231,50255798,Shared room,Venice,3,3.5,2,1,99
9137593,47588463,Shared room,Marina del Rey,0,0,2,1,100
11436245,1586740,Shared room,Hollywood,1,0,2,1,100
14218751,86367005,Shared room,Studio City,1,0,2,1,100
13902743,59799245,Shared room,Inglewood,1,0,1,1,90
8612017,37668833,Shared room,Venice,21,4,6,1,99
14342720,2478278,Shared room,Venice,1,0,2,1,99
14971184,92857538,Shared room,Beverly Hills,0,0,2,1,100
16571393,61245352,Shared room,Hollywood,0,0,4,1,82
1187656,6494491,Shared room,Baldwin Hills/Crenshaw,0,0,1,1,100
2404,2633,Shared room,Del Rey,0,0,1,1,85
9650268,49890878,Shared room,Westlake,0,0,1,1,85
13899330,82369156,Shared room,Long Beach,0,0,1,1,100
16812735,37668833,Shared room,Santa Monica,2,0,2,1,85
3256419,94718,Shared room,West Hollywood,0,0,1,1,95
14186070,81894298,Shared room,Hollywood,0,0,2,1,90
1083874,5959544,Shared room,Gramercy Park,0,0,1,1,100
6135485,31831226,Shared room,Silver Lake,6,4.5,2,1,100
5136242,24615600,Shared room,Mid-City,0,0,2,1,80
14586301,46250454,Shared room,Sherman Oaks,0,0,1,1,90
14790334,44861748,Shared room,Hawthorne,7,4,2,1,84
11741274,62461430,Shared room,Downtown,0,0,4,1,90
15853705,13060120,Shared room,Canoga Park,3,3.5,1,1,89
15010743,52028860,Shared room,Tarzana,0,0,3,1,99
16191787,96065803,Shared room,Koreatown,0,0,2,1,90
14670334,91169255,Shared room,Gardena,0,0,2,1,95
3766933,13652414,Shared room,Hollywood,9,5,3,1,99
13514141,15152072,Shared room,Central-Alameda,1,0,2,1,100
8792756,46033026,Shared room,Brentwood,0,0,1,1,80
14342960,87858721,Shared room,Santa Monica,1,0,1,1,100
15236767,43725347,Shared room,Del Rey,1,0,2,1,80
14649383,88657134,Shared room,Playa Vista,0,0,1,1,95
17364631,117326828,Shared room,Pacoima,0,0,4,1,85
17095592,105860260,Shared room,Mid-Wilshire,0,0,1,1,100
12712436,69113298,Shared room,Mar Vista,8,5,2,1,85
9740255,50254305,Shared room,Westwood,0,0,2,1,100
17010198,5154390,Shared room,Santa Monica,1,0,2,1,95
17647176,117535740,Shared room,Santa Monica,0,0,1,1,85
16813761,37668833,Shared room,Venice,2,0,4,1,89
15422816,39255908,Shared room,Veterans Administration,2,0,2,1,90
6949368,36386518,Shared room,Santa Monica,26,4,1,1,89
14772918,92177330,Shared room,Long Beach,0,0,2,1,65
9372981,42844361,Shared room,Downtown,1,0,2,1,80
12904533,34709748,Shared room,North Hollywood,1,0,2,1,80
9239587,42844361,Shared room,Chinatown,0,0,2,1,80
1661292,8786086,Shared room,Hancock Park,0,0,1,1,75
6031657,25149349,Shared room,Westwood,1,0,1,1,75
15647808,31920354,Shared room,Venice,0,0,1,1,65
8211646,43033617,Shared room,Sawtelle,0,0,2,1,80
6273339,14087666,Shared room,Beverly Hills,0,0,1,1,70
9813119,28572469,Shared room,Sawtelle,0,0,2,1,80
687797,176913,Shared room,Glendale,43,5,3,1,65
13081963,25149349,Shared room,Westwood,2,0,1,1,65
10676471,25149349,Shared room,Westwood,0,0,1,1,75
2175487,9148217,Shared room,East Hollywood,0,0,2,1,69
12927565,26860,Shared room,Downtown,23,4.5,16,1,70
13447302,25149349,Shared room,Westwood,2,0,1,1,65
486288,2406775,Shared room,Woodland Hills,0,0,1,1,79
14773076,92179355,Shared room,Long Beach,0,0,2,1,76
9536092,14722228,Shared room,Koreatown,0,0,1,1,77
5318206,27387727,Shared room,Tarzana,0,0,1,1,75
15091241,95524119,Shared room,Hollywood Hills,0,0,4,1,80
11635955,61670574,Shared room,Larchmont,0,0,2,1,75
1941216,10040549,Shared room,Mar Vista,0,0,2,1,75
4765820,20211217,Shared room,Santa Monica,2,0,2,1,79
14732787,91752292,Shared room,Hollywood,0,0,1,1,60
14845815,38987205,Shared room,Westwood,1,0,1,1,69
5481187,24078942,Shared room,Glendale,0,0,1,1,69
20965,79697,Shared room,Hollywood,4,5,2,1,70
8256401,43540336,Shared room,Pico-Robertson,0,0,1,1,65
17424213,117866300,Shared room,Griffith Park,0,0,2,1,77
16646297,110012112,Shared room,Koreatown,0,0,6,1,76
14321422,87607372,Shared room,Watts,0,0,2,1,69
9167855,47714615,Shared room,Adams-Normandie,0,0,1,1,70
535641,1320246,Shared room,Venice,32,5,1,1,75
11373407,18090037,Shared room,East Hollywood,0,0,1,1,65
8743536,45140165,Shared room,Hollywood,0,0,2,1,63
8035649,17137350,Shared room,Hollywood,4,4,2,1,67
12905157,25149349,Shared room,Westwood,1,0,1,1,70
9821709,50590067,Shared room,Valley Village,0,0,1,1,77
17546111,51163504,Shared room,Studio City,0,0,1,1,65
16938890,113209549,Shared room,Westlake,0,0,3,1,69
11482483,60440620,Shared room,Tarzana,0,0,1,1,80
15498758,99502905,Shared room,Harvard Heights,0,0,15,1,80
13300992,27369328,Shared room,Hollywood,0,0,2,1,69
13676024,2596829,Shared room,Van Nuys,1,0,1,1,65
14614688,44364638,Shared room,Hollywood,0,0,1,1,67
8969450,45243645,Shared room,Del Rey,0,0,1,1,75
8342694,43974934,Shared room,Sawtelle,4,5,1,1,65
10426721,25149349,Shared room,Westwood,2,0,1,1,65
12326107,66509826,Shared room,Playa Vista,0,0,2,1,70
15701850,31920354,Shared room,Venice,0,0,4,1,65
8506802,17800236,Shared room,Hollywood,11,4.5,1,1,65
16347492,104188757,Shared room,Palms,0,0,2,1,65
15054419,95155199,Shared room,Westwood,11,5,1,1,70
16051690,4440278,Shared room,Venice,1,0,4,1,64
8953814,46798040,Shared room,Hollywood,1,0,1,1,62
17368753,41555535,Shared room,Downtown,0,0,2,1,65
13956649,81894298,Shared room,Hollywood Hills West,5,5,2,1,80
2413322,8206200,Shared room,Reseda,31,4.5,6,1,32
2184897,8206200,Shared room,Reseda,26,4.5,4,1,32
3290881,7391588,Shared room,Northridge,25,4.5,3,1,35
3654688,7391588,Shared room,Northridge,12,5,3,1,35
4267700,7391588,Shared room,Northridge,13,5,3,1,35
2123526,8206200,Shared room,Northridge,51,4.5,6,1,40
7023946,36817697,Shared room,Sawtelle,27,4,1,1,39
10551796,8206200,Shared room,West Hills,27,4.5,5,1,30
10036445,8206200,Shared room,Reseda,9,4.5,6,1,40
10036352,8206200,Shared room,Northridge,20,5,6,1,40
16770563,109087828,Shared room,Venice,4,5,1,1,25
14075434,84572589,Shared room,Granada Hills,8,5,1,1,39
17214203,50078939,Shared room,Woodland Hills,0,0,1,1,25
4706190,7391588,Shared room,Northridge,14,5,2,1,35
16284018,71690444,Shared room,Woodland Hills,1,0,1,1,20
13414166,10710572,Shared room,Brentwood,0,0,1,1,40
14250537,35155134,Shared room,Westwood,2,0,1,1,23
13190579,21940642,Shared room,Mar Vista,1,0,4,1,34
14853998,92993577,Shared room,Santa Monica,0,0,1,1,38
13191371,21940642,Shared room,Mar Vista,4,4.5,4,1,34
15148551,21940642,Shared room,Mar Vista,1,0,4,1,31
17512730,21940642,Shared room,Del Rey,0,0,4,1,33
4574276,1254174,Shared room,Venice,6,4,6,1,36
17009955,114030214,Shared room,El Segundo,2,0,1,1,40
16661637,109087828,Shared room,Venice,4,4.5,1,1,30
16571537,109087828,Shared room,Venice,18,4.5,1,1,30
321779,1647771,Shared room,Venice,8,4,1,1,35
14745469,6484853,Shared room,El Segundo,43,5,1,1,34
17366640,114030214,Shared room,El Segundo,2,0,1,1,40
3711687,6484853,Shared room,El Segundo,92,5,1,1,39
17368582,114030214,Shared room,El Segundo,1,0,1,1,32
16231058,105630569,Shared room,Hermosa Beach,8,4,6,1,33
10767453,6484853,Shared room,El Segundo,35,5,1,1,36
13191447,21940642,Shared room,Mar Vista,1,0,4,1,34
13190642,21940642,Shared room,Mar Vista,2,0,4,1,34
13191251,21940642,Shared room,Mar Vista,1,0,4,1,34
1404337,7511844,Shared room,Mar Vista,0,0,1,1,35
13191409,21940642,Shared room,Mar Vista,3,3.5,4,1,34
13191065,21940642,Shared room,Mar Vista,0,0,4,1,34
13191291,21940642,Shared room,Mar Vista,0,0,4,1,34
